x,y,CrownAreaError,PredictedArea,TrueArea
241590.38,699798.05,0.31151179145364194,22.295700454711913,17.0
247503.5,699734.93,0.2673125976028664,25.13117790222168,34.3
249000.54,697548.96,0.08223822574741793,27.716405582427978,30.2
246378.02,699475.95,0.19803329614492562,20.851134300231934,26.0
242075.25,698586.74,0.45244998801244457,21.20576982498169,14.6
245701.62,695686.81,0.5574943820099946,32.8339168548584,74.2
249014.87,697320.6,2.3477371760777066,23.434160232543945,7.0
242571.32,703204.78,1.4295750493588653,33.52813568115234,13.8
247526.33,695431.15,0.16307211879745553,28.96049575805664,24.9
248466.0,697095.54,0.16908855529493122,24.43395080566406,20.9
243426.12,704161.77,1.0277380856600675,33.457678413391115,16.5
248861.4,697424.75,0.9858008083115276,23.23386945724487,11.7
244919.07,695742.25,1.2842969770555372,35.17817344665527,15.4
249854.17,698054.46,0.10959273483894329,28.582073211669922,32.1
249145.98,699332.17,0.2819775249181169,31.9520001411438,44.5
245439.01,695185.16,0.032206272138916865,27.001445007324218,27.9
249992.62,698553.32,0.10852994416889399,23.71310348510742,26.6
249154.43,699205.11,0.19917540476112156,23.144085311889647,19.3
243887.43,700775.03,0.3788202921549479,26.08954772949219,42.0
242614.54,699721.41,0.1501761455925143,16.90758934020996,14.7
249845.92,695542.87,0.5624081605782538,25.467253017425538,16.3
244203.39,698164.87,0.6443338673017176,28.118109130859374,17.1
242682.17,700270.9,0.07732412050355146,19.56072864532471,21.2
243749.2,700251.78,1.440997394762541,23.18947525024414,9.5
247856.19,696532.16,1.731878211699336,22.674589157104492,8.3
242896.48,701402.6,0.09080678555700507,26.184764575958255,28.8
244631.4,701929.17,0.09854666103016242,29.74796018600464,33.0
244769.07,700587.18,0.5836780617036014,26.289055824279785,16.6
241541.68,707325.79,2.426077745962834,23.639936447143555,6.9
247872.14,694306.48,0.21898489528232157,22.49323501586914,28.8
248041.84,696341.51,0.2906427008616352,29.555717849731444,22.9
248946.0,693651.15,0.14764540701201476,28.127701568603513,33.0
243784.93,698508.21,0.33141781146709737,21.728921127319335,32.5
248947.45,699669.15,2.2698536180470086,23.869931411743163,7.3
249497.71,698242.72,0.40537472077231995,22.238985443115233,37.4
248962.44,698080.55,0.45556647186979243,23.73730182647705,43.6
247917.49,699248.41,0.5510768299870447,29.000436782836914,64.6
247906.33,699775.84,1.3520062843464917,37.86730117797852,16.1
244340.36,698645.14,0.3078098992104472,32.302904510498045,24.7
241966.26,706765.93,0.06582365074310924,26.53900890350342,24.9
249567.22,697035.77,0.21054664923220262,23.209928512573242,29.4
245568.48,695718.42,0.183550095772958,36.250375747680664,44.4
245862.69,695681.3,0.6276132178118848,20.670687866210937,12.7
247353.69,696906.37,0.1923773009641513,24.147918701171875,29.9
243084.37,698481.08,0.43215037555229374,23.281834602355957,41.0
243570.25,698714.3,0.2132302120233037,24.704571342468263,31.4
242306.34,703173.32,5.763844701978894,24.34984092712402,3.6
247632.05,695453.38,0.3022622033661487,28.467702102661132,40.8
249592.24,697098.73,0.16615096125109438,24.181622123718263,29.0
242895.7,699819.98,0.41085134317845473,19.088416481018065,32.4
247789.55,698346.29,0.2522533967855552,33.1251745223999,44.3
249098.88,697152.15,3.2427890484149637,22.062503051757812,5.2
248137.6,697828.73,0.12189402141627638,37.80782852172852,33.7
249415.88,699904.4,0.7459054280476396,28.98203010559082,16.6
244415.79,696285.61,0.13641251580563588,29.880126953125,34.6
241946.62,702999.88,0.17032458855933735,32.19140596389771,38.8
243053.76,701453.16,0.673889544972202,28.623511219024657,17.1
247809.48,699250.06,0.47993686560428506,25.74312515258789,49.5
244721.81,695627.32,0.5328536871586883,22.3295937538147,47.8
242044.76,701500.85,0.04381253230521863,22.852880477905273,23.9
247231.78,696749.6,0.05992083882176592,22.788298034667967,21.5
248251.3,696185.34,0.017388350211533853,30.31817283630371,29.8
244135.05,699105.82,0.42919697807830504,29.441457748413086,20.6
242462.9,699132.16,0.346834417891829,23.840543746948242,36.5
244508.15,701531.6,0.27037912734011393,27.433744812011717,37.6
249959.1,697427.59,0.927497579444269,31.032711029052734,16.1
243235.37,699301.37,0.12573718585176963,24.4284969329834,21.7
244431.9,695866.19,1.1395938313090717,30.596191787719725,14.3
243443.62,700014.33,0.31621836522303587,29.812879276275638,43.6
248700.37,693990.32,0.43012982648184334,24.67537851333618,43.3
242736.84,698725.2,0.29959685628007104,31.588181781768796,45.1
246297.27,698304.23,0.8393984453393779,20.04944305419922,10.9
245939.91,695554.31,0.04945133918493847,20.884081649780274,19.9
249711.2,693585.16,0.030014317123978174,26.18961343765259,27.0
245604.19,698355.93,0.6409953364619502,22.153437042236327,13.5
241392.25,705489.51,0.14517609897630027,26.453567886352538,23.1
247102.97,698039.77,0.01085323435272106,26.014559936523437,26.3
245355.77,697663.92,0.34752413768641993,20.34761447906494,15.1
241562.79,699512.35,0.6502814933435241,22.113772010803224,13.4
249173.85,696527.85,1.125104486272576,18.913429927825927,8.9
245356.88,697421.12,0.12675260261253068,23.57767972946167,27.0
