x,y,HeightError,PredictedHeight,TrueHeight
242003.43,699306.32,0.046130738854937146,17.20017,18.032
241079.82,702751.33,0.07125561955777882,8.824,9.501
248400.88,696089.26,0.09660714529322509,16.037933,17.753
245580.73,697796.48,0.12399578373621332,11.073569,12.641
242025.56,704628.17,0.036893176129785835,30.118277,31.272
248249.7,696217.37,0.11518902999206934,7.74652,8.755
249325.16,696259.22,0.09306961230553328,16.753725,18.473
248690.48,696473.69,0.13195266839434402,17.898436,15.812
241785.84,699334.67,0.07077752449074566,13.431833,12.544
249693.36,694312.97,0.04205700342008598,23.311857,22.371
243113.91,701513.54,0.055165128531417515,7.250663,7.674
244895.03,701029.96,0.08262237956181784,8.247225,8.99
249747.56,699832.5,0.10282019013934211,9.618665,10.721
245948.81,698563.92,0.14705499294584842,18.664879,16.272
243048.44,698313.09,0.18317009726704436,14.387642,17.614
247336.68,697911.39,0.678886390813495,7.034534,4.19
243701.16,700816.79,0.04566992219584227,31.4297,30.057
246076.08,699614.44,0.07662305792877482,8.122024,8.796
245933.69,695727.1,0.07522262458495903,11.436722,12.367
243369.7,703221.09,0.11187948349080606,7.8074675,8.791
249976.34,699876.91,0.11995922235169268,9.503974,8.486
247030.66,699936.62,0.2530658939656515,11.071057,14.822
247459.44,698711.43,0.04041578001563181,20.261057,19.474
243768.91,702828.76,0.15008812023529505,6.676058,7.855
249154.36,696930.06,0.140099583433279,22.483904,19.721
241001.85,707439.15,0.045214287311334374,16.400457,15.691
246928.08,696394.41,0.26043114608811213,8.723954,11.796
242627.58,703130.49,0.04492134860997555,17.113722,16.378
245223.95,696652.29,0.10509758912040292,22.871916,25.558
248374.94,696543.94,0.22181167769880925,13.369063,10.942
248738.64,696090.2,0.0009413716106859667,31.400532,31.371
248463.8,697003.82,0.05479303797876272,18.299604,17.349
243182.52,699255.8,0.06580747629440006,22.9479,21.531
247770.46,698992.24,0.06820261593577935,17.748877,19.048
246280.75,695924.56,0.4044647845911947,7.4388304,12.491
243580.95,700296.38,0.13700435848953485,17.873503,20.711
246409.78,698872.85,0.16028398455995505,8.867401,10.56
