"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-single-org"
"11/25/2024 11:31:33:580 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [farm-agri-output] of farms with [color = red]","farm-coordinates","current-step"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","53","29839.907575202313","185.5856363950316","[[55 11] [50 35] [46 62] [27 20]]","53"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","54","31695.07110489916","185.51635296968476","[[55 11] [27 20] [46 62] [50 35]]","54"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","55","33549.54185338502","185.4470748485853","[[27 20] [46 62] [55 11] [50 35]]","55"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","56","35403.319873679284","185.3778020294264","[[55 11] [50 35] [27 20] [46 62]]","56"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","57","37256.4052187783","185.30853450990168","[[27 20] [50 35] [55 11] [46 62]]","57"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","58","39108.79794165536","185.23927228770515","[[46 62] [27 20] [55 11] [50 35]]","58"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","59","40960.49809526067","185.17001536053127","[[55 11] [27 20] [50 35] [46 62]]","59"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","60","42811.50573252142","185.10076372607486","[[27 20] [50 35] [55 11] [46 62]]","60"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","61","39091.52751967507","244.01809833004793","[[55 11] [50 35] [46 62] [50 58] [27 20]]","61"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","62","41530.828756920135","243.9301237245064","[[50 58] [27 20] [55 11] [46 62] [50 35]]","62"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","63","43969.25031844122","243.84215615210877","[[27 20] [50 58] [46 62] [55 11] [50 35]]","63"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","64","46406.79227454021","243.75419560989914","[[27 20] [55 11] [50 35] [50 58] [46 62]]","64"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","65","48843.45469548943","243.66624209492187","[[46 62] [50 58] [50 35] [55 11] [27 20]]","65"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","66","51279.23765153165","243.57829560422178","[[55 11] [50 58] [27 20] [46 62] [50 35]]","66"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","67","53714.141212880095","243.49035613484423","[[46 62] [55 11] [50 35] [50 58] [27 20]]","67"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","68","56148.16544971844","243.40242368383485","[[27 20] [50 58] [46 62] [55 11] [50 35]]","68"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","69","58581.310432200844","243.3144982482398","[[50 35] [27 20] [46 62] [50 58] [55 11]]","69"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","70","61013.5762304519","243.22657982510572","[[27 20] [50 35] [55 11] [46 62] [50 58]]","70"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","71","63444.9629145667","243.13866841147956","[[46 62] [27 20] [55 11] [50 58] [50 35]]","71"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","72","65875.47055461079","243.0507640044089","[[46 62] [50 58] [50 35] [55 11] [27 20]]","72"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","73","68305.0992206202","242.96286660094165","[[50 58] [55 11] [46 62] [50 35] [27 20]]","73"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","74","70733.84898260147","242.87497619812606","[[55 11] [27 20] [46 62] [50 35] [50 58]]","74"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","75","73161.71991053158","242.78709279301103","[[27 20] [46 62] [50 35] [55 11] [50 58]]","75"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","76","72223.92467435804","274.93925889279194","[[50 58] [44 17] [55 11] [27 20] [46 62] [50 35]]","76"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","77","74972.30677604227","274.83821016842256","[[50 35] [55 11] [27 20] [46 62] [50 58] [44 17]]","77"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","78","77719.67846932539","274.73716932831144","[[50 35] [44 17] [55 11] [50 58] [27 20] [46 62]]","78"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","79","80466.03983301623","274.63613636908366","[[50 58] [55 11] [46 62] [50 35] [44 17] [27 20]]","79"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","80","83211.39094588987","274.53511128736466","[[50 58] [55 11] [50 35] [44 17] [27 20] [46 62]]","80"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","81","85955.73188668767","274.4340940797807","[[44 17] [46 62] [27 20] [55 11] [50 58] [50 35]]","81"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","82","88699.06273411727","274.3330847429585","[[50 35] [50 58] [44 17] [55 11] [46 62] [27 20]]","82"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","83","91441.38356685251","274.23208327352535","[[50 35] [50 58] [46 62] [44 17] [27 20] [55 11]]","83"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","84","94182.69446353361","274.1310896681091","[[55 11] [46 62] [50 35] [50 58] [44 17] [27 20]]","84"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","85","96922.995502767","274.0301039233382","[[27 20] [50 35] [55 11] [44 17] [50 58] [46 62]]","85"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","86","99662.2867631254","273.9291260358417","[[27 20] [50 35] [55 11] [50 58] [46 62] [44 17]]","86"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","87","102400.56832314789","273.82815600224933","[[50 58] [55 11] [50 35] [27 20] [46 62] [44 17]]","87"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","88","105137.8402613398","273.7271938191912","[[44 17] [27 20] [50 35] [46 62] [50 58] [55 11]]","88"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","89","107874.10265617279","273.6262394832982","[[46 62] [50 35] [55 11] [44 17] [27 20] [50 58]]","89"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","90","110609.35558608481","273.5252929912015","[[55 11] [46 62] [27 20] [50 58] [44 17] [50 35]]","90"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","91","106034.49646281348","325.87986100348746","[[50 54] [50 58] [55 11] [44 17] [50 35] [46 62] [27 20]]","91"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","92","109292.11007204952","325.76136092360457","[[55 11] [50 54] [46 62] [50 35] [44 17] [27 20] [50 58]]","92"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","93","112548.5387741429","325.6428702093384","[[55 11] [50 35] [50 54] [46 62] [44 17] [50 58] [27 20]]","93"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","94","115803.78266270994","325.5243888567039","[[50 54] [27 20] [50 58] [46 62] [55 11] [44 17] [50 35]]","94"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","95","119057.84183132711","325.40591686171626","[[50 58] [55 11] [27 20] [44 17] [50 35] [50 54] [46 62]]","95"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","96","122310.71637353103","325.28745422039174","[[46 62] [50 54] [44 17] [55 11] [50 35] [27 20] [50 58]]","96"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","97","125562.4063828185","325.16900092874704","[[44 17] [50 54] [55 11] [46 62] [50 35] [27 20] [50 58]]","97"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","98","128812.9119526465","325.0505569827994","[[50 58] [55 11] [50 35] [44 17] [27 20] [46 62] [50 54]]","98"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","99","132062.23317643217","324.93212237856693","[[50 54] [44 17] [55 11] [27 20] [46 62] [50 58] [50 35]]","99"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","100","135310.37014755287","324.8136971120684","[[50 35] [27 20] [55 11] [46 62] [50 58] [50 54] [44 17]]","100"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","101","138557.3229593461","324.695281179323","[[50 35] [50 58] [44 17] [27 20] [46 62] [55 11] [50 54]]","101"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","102","141803.0917051096","324.57687457635075","[[44 17] [27 20] [55 11] [50 35] [50 54] [50 58] [46 62]]","102"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","103","145047.67647810132","324.45847729917244","[[44 17] [50 54] [50 58] [55 11] [50 35] [27 20] [46 62]]","103"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","104","148291.0773715394","324.34008934380915","[[44 17] [50 35] [50 58] [27 20] [46 62] [55 11] [50 54]]","104"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","105","151533.29447860224","324.2217107062829","[[44 17] [27 20] [55 11] [50 54] [46 62] [50 35] [50 58]]","105"
"1","2","0.0088","false","26","80","0.48","15","false","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","106","151894.8427990951","356.65567622335027","[[42 1] [50 35] [55 11] [46 62] [50 54] [50 58] [44 17] [27 20]]","106"
