"BehaviorSpace results (NetLogo 6.3.0)"
"farming_climate_change.nlogo"
"RCP-experiment-1"
"11/24/2024 16:04:08:734 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","64","0","64"
"[run number]","max-alt-cost-coeff","SLRrate","green-org","starting-temp","look-ahead-blue","dev-discount-red","time-btw-buy-blue","blue-org","run-time","profit-threshold-red","sell-bonus-red","dev-discount-blue","time-btw-buy-red","dev-discount-green","max-base-cost","time-btw-buy-green","look-ahead-green","profit-threshold-blue","profit-threshold-green","look-ahead-red","max-altitude","sell-bonus-blue","sell-bonus-green","red-org","min-base-cost","[step]","sum [money] of farm-orgs with [org-color = red]","sum [money] of farm-orgs with [org-color = blue]","sum [money] of farm-orgs with [org-color = green]","sum [farm-agri-output] of farms with [color = red]","sum [farm-agri-output] of farms with [color = blue]","sum [farm-agri-output] of farms with [color = green]"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","29","10931.52753922862","1817.2093351022497","3936.8391449065084","97.14177813204864","107.81711613768152","42.375701284214436"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","17","-555.2758993349557","-15052.590646146293","-10029.93776174074","68.0100224879802","90.61407013898","84.5662098115983"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","10","-1061.9269726372897","-6494.52040308727","-2969.0528559386016","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","21","2147.3663214493176","-9122.489227744436","-3152.8625948159906","79.08110966369722","113.0237627102192","58.013458494949674"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","30","11902.817036234637","2895.244690886957","4360.500262294256","97.12894970060172","107.8035355784707","42.366111738774684"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","18","124.6059800828574","-14146.683632793638","-9184.513028470863","67.98818794178132","90.59070133526541","84.54247332698779"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","22","2937.866115927063","-7992.62366414428","-2573.0417644811196","79.04997944777456","112.98655636001556","57.98208303348709"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","11","-688.5988662636555","-6050.430077504374","-2570.6778954873353","37.33281063736343","44.409032558289645","39.83749604512664"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","19","804.2695232641885","-13241.010294658498","-8339.325647655365","67.96635431813311","90.56733381351413","84.51873808154977"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","12","-315.2707598900212","-5606.339751921478","-2172.302935036069","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","23","3728.0546304829754","-6863.130130880108","-1993.5346726910102","79.0188514555912","112.94935332641725","57.95070917901093"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","20","1483.7147394313074","-12335.570618925229","-7494.375606905903","67.94452161671188","90.54396757332685","84.49500407494621"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","31","7968.5033928771945","-6352.320754492422","-359.41451412094466","149.33241330078957","162.34866181687153","68.09611824334084"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","24","4517.931887344249","-5734.00859479896","-1414.341303384049","78.98772568612733","112.91215360811472","57.91933693069611"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","21","2162.941637803247","-11430.364592782185","-6649.6628938375125","67.92268983719397","90.52060261430444","84.47127130683904"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","32","9461.630499862442","-4729.037962942144","321.40763850850954","149.31271069852465","162.3282791550277","68.08221526294543"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","13","58.05734648361306","-5162.2494263385815","-1773.9279745848025","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","25","5307.4979087278825","-4605.259022760975","-835.4616405068712","78.95660213836334","112.87495720379849","57.887966287717795"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","22","2841.950227595805","-10525.39220342171","-5805.187496068611","67.90085897925576","90.49723893604761","84.44753977689018"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","33","10954.560586891734","-3105.958991337844","1002.0907639761374","149.2930087029291","162.30789716042997","68.06831254676278"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","14","431.38545285724734","-4718.159100755685","-1375.5530141335362","37.33281063736343","44.409032558289645","39.83749604512664"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","26","6096.752716840681","-3476.881381639384","-256.89566801435603","78.9254808112799","112.83776411215914","57.85659724925151"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","23","3520.740518021543","-9620.653438040137","-4960.949401220994","67.8790290425738","90.47387653815733","84.42380948476163"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","27","6885.696333879261","-2348.8756383205105","321.35663013037515","78.89436170385797","112.80057433188736","57.82522981447312"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","34","12447.293660030822","-1483.083833008057","1682.6348649235551","149.2733073139088","162.28751583297873","68.05441009474178"
"1","2","0","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","15","804.7135592308816","-4274.068775172789","-977.1780536822698","37.33281063736343","44.409032558289645","39.83749604512664"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","24","4199.312518289789","-8716.148283837792","-4116.948596919841","67.85720002682464","90.4505154202345","84.40008043011532"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","28","7674.328782030048","-1221.2417597037718","899.2952699559629","78.86324481507873","112.76338786167386","57.793863982558776"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","35","13939.829725344522","139.58751871768595","2363.039943991868","149.25360653136994","162.26713517257429","68.04050790683127"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","29","8462.650083469285","-93.97971270167659","1476.920267482812","78.83213014392365","112.72620470020952","57.76249975268493"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","25","4877.66623760664","-7811.876728018991","-3273.1850707937083","67.83537193168499","90.42715558188016","84.37635261261327"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","36","15432.168788896706","1762.0550705088556","3043.306003821668","149.23390635521858","162.24675517911697","68.02660598298"
"4","2","0.0088","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","30","9250.66026036303","1032.9105357601754","2054.2316387230962","78.80101768937448","112.68902484618519","57.731137124028436"
"3","2","0.0062","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","26","5555.801685174955","-6907.838757792038","-2429.6588104745333","67.81354475683153","90.40379702269533","84.35262603191748"
"2","2","0.0033","true","26","80","0.48","15","true","300","0","1","0","15","0","10000","15","20","0","0","30","25","1","1","true","5000","37","16924.310856750315","3384.3188290339276","3723.433047053037","149.21420678536074","162.2263758525072","68.01270432313689"
