x,y,CrownAreaError,PredictedArea,TrueArea
249773.33,697214.88,0.04758751758037173,15.524323,16.3
242477.45,699814.48,0.5682168415614537,15.112411,35.0
248335.93,699527.48,0.6152902494009574,14.118848,36.7
249507.23,699075.11,0.6377701091455714,11.120458,30.7
244768.72,700616.65,0.20802364033230109,14.334772,18.1
241039.27,706325.06,0.4465376749759963,13.172403,23.8
248483.94,694274.84,0.022620275616645757,13.08954,12.8
244534.96,698981.4,0.7149036961022988,9.037553,31.7
241656.51,699575.14,1.0931367576122282,13.396075,6.4
242877.78,704550.0,0.787406215454613,15.221715,71.6
242513.68,699537.01,0.11367913448449338,18.375706,16.5
247086.1,699149.02,0.5230874317448315,12.489317,8.2
244761.3,698961.42,0.5519623691088532,19.624048,43.8
244673.31,698560.16,0.1972949422638992,13.888621,11.6
248395.52,695889.05,0.3765897234085158,12.655229,20.3
246987.0,695510.65,0.7345793966859032,10.112525,38.1
243070.98,699003.8,0.29092465244771865,18.648682,26.3
249085.31,695950.07,0.13849367414202007,17.532803,15.4
244471.43,700806.48,0.03870815700954861,17.303253,18.0
241013.58,706378.23,0.38958846691042875,13.123848,21.5
248428.25,695331.08,0.2116307400642557,11.389329,9.4
247449.11,699650.64,0.4552160139700667,10.950158,20.1
249029.07,698528.78,0.7860986416409876,12.384889,57.9
241310.64,707561.75,0.11441836261109214,16.604834,14.9
245424.78,700788.41,0.3066635952200941,12.896057,18.6
249010.07,698794.05,0.6854818846618825,11.102489,35.3
246857.82,695657.83,0.7687119409347437,10.939925,47.3
248122.45,699501.79,0.2182018160820008,11.694737,9.6
247642.83,699674.82,0.21815976931180572,13.525836,17.3
247944.32,697319.18,0.6182825235220102,12.405818,32.5
243542.93,700644.8,0.14955437489044976,17.933048,15.6
248404.65,696026.96,0.4846685396300422,14.841546,28.8
242261.34,706700.1,0.5287667083740234,23.561665,50.0
243290.69,703427.85,0.835349314921611,13.581585,7.4
248755.72,696208.38,0.6283746313774723,12.932563,34.8
244219.72,697993.22,1.0880317687988283,17.12186,8.2
244769.69,700409.32,0.22592571169831038,21.085922,17.2
246720.68,697939.62,1.834088603655497,13.603625,4.8
244363.62,695930.14,0.3660176069216621,16.863932,26.6
244307.62,700712.92,2.39770338752053,14.949895,4.4
241958.26,698595.73,0.5726732596372947,16.665743,39.0
242831.38,699716.58,0.22656609978474365,16.474142,21.3
246837.51,694861.3,0.6896170356498116,12.1980505,39.3
245359.82,698232.38,0.5202745460882419,15.734995,32.8
243570.14,698269.4,0.630044908665899,10.921301,6.7
246129.99,699661.99,0.24243841598283006,15.226988,20.1
247816.82,696168.69,0.0021236064070362754,11.774941,11.8
243225.32,703269.27,0.2528054506882377,13.74838,18.4
249784.21,693207.74,0.6470035701603084,13.590363,38.5
246104.42,696306.5,0.5206330915650736,13.278463,27.7
243696.86,698576.66,0.0534572701179545,18.078966,19.1
248924.34,698620.39,0.1976627456807644,17.170017,21.4
