x,y,HeightError,PredictedHeight,TrueHeight
243403.14,699822.79,0.07112673170135106,26.825297868728637,25.044
241971.89,701626.21,0.03469925962979361,21.95942238712311,21.223
241725.93,701757.73,0.050892712568883,21.953148765563967,20.89
242409.65,698756.85,0.026105317477983586,18.728474254608155,18.252
244052.49,698904.13,0.09893115694737675,21.807189878463745,19.844
244453.25,701731.06,0.2767918518988408,5.536169469833374,4.336
245162.89,695832.72,0.03907111179779934,10.934145309448242,10.523
244456.51,700349.7,0.11033950446786131,8.908170541763305,10.013
246033.95,698970.26,0.0052138719258690265,14.071249781608582,14.145
242264.93,699793.11,0.0181505460879469,28.161025954246522,27.659
249882.69,699610.05,0.10943944683294596,18.86919700050354,21.188
242122.09,701678.59,0.05245499559169971,16.491969780921934,15.67
246912.35,697719.73,0.03928830302727374,18.072908443450928,18.812
243136.27,705091.01,0.09221255269193132,14.638980375289917,16.126
244579.97,700856.87,0.1473216379302803,13.83325698852539,12.057
246922.47,696438.26,0.10510633693230294,9.636214963912963,10.768
248369.29,696269.23,0.20562394244376478,16.88235206604004,14.003
244176.06,698890.07,0.12478893361895424,6.499030458450317,5.778
242728.88,700125.49,0.005049777433430259,11.073638447761535,11.018
248381.99,695453.02,0.30125377830909983,11.699806735992432,16.744
241353.06,706421.82,0.11776434713342109,9.200318341255189,8.231
241923.37,701513.01,0.01801150077682866,35.046063925743105,34.426
243395.37,700180.74,0.06737644199656254,26.034186621665956,27.915
243421.72,703239.71,0.23883806404314542,7.404583312988281,9.728
247948.43,694270.14,0.08582401920444983,16.224795307159425,17.748
247341.03,697107.91,0.011950966457438502,7.598739807128906,7.509
248636.87,697924.8,0.021012922476606813,25.445832118988037,25.992
242918.17,699364.03,0.11915883983180992,12.323848671913147,13.991
248287.96,696310.56,0.1316902486996959,11.9053814163208,10.52
241394.63,697999.08,0.06557504100727805,19.54158067703247,18.339
242947.34,700656.07,0.042995268188589134,26.46213783931732,27.651
249287.85,697220.64,0.020107552763619092,17.260805458068848,17.615
246143.95,698578.81,0.0822977556134604,15.282495475769043,16.653
247741.21,695864.24,0.257338441164439,8.235566789627075,6.55
247350.36,697870.5,0.058003117044570326,6.670279928207398,7.081
244723.45,698293.89,0.25922380772430287,9.154512184143066,12.358
244215.36,700163.58,0.0029946775424952387,16.61010867214203,16.66
249697.98,699978.7,0.043215665397296904,18.18559984779358,19.007
246578.15,695999.24,0.1513072736287418,8.2997741355896,7.209
241518.88,704530.36,0.1430733423249971,6.435502917289734,5.63
241612.36,701499.73,0.23955520153879284,6.959590795516967,9.152
248930.29,697835.25,0.09516730991170093,26.91264147377014,24.574
243640.76,699979.09,0.06609209645546867,24.339948654174805,22.831
245701.63,695573.26,0.09989151838740762,10.452269099235535,9.503
245777.38,698929.34,0.11710524999263035,15.487547185897828,13.864
245582.94,697886.71,0.23902418677229728,7.964447472572327,6.428
246210.14,698505.03,0.02781772834484824,13.846792095184327,14.243
242413.35,704137.76,0.07792641362853177,23.50088949584961,25.487
247651.44,697046.11,0.16948138855522732,8.292792526245117,7.091
246190.98,696045.66,0.311333536828466,6.909390625,10.033
241830.71,701845.15,0.03593156237106049,29.304788298606873,30.397
247577.08,695506.04,0.015530278026193795,8.151409297943115,8.28
249150.19,694530.86,0.09817514092265855,14.78363374710083,13.462
243288.02,701097.01,0.04110730643483262,22.765893469810486,21.867
247027.11,695939.52,0.1500858766411979,10.957092878341676,12.892
245757.69,698007.6,0.11934519562775459,8.26972230529785,7.388
246766.66,695549.45,0.17089462773824018,14.098107749938965,17.004
242309.15,700183.66,0.01312106690383746,27.24282548904419,26.89
243237.92,704332.06,0.0011982411262508148,9.745663679122925,9.734
244861.98,696393.25,0.04081445860115085,7.467843740463257,7.175
243841.37,703614.62,0.06564753495213506,18.469803075790406,17.332
249944.38,695998.91,0.05522085775087671,18.195173250198366,17.243
243748.82,702588.69,0.12850539285305998,9.800828351974488,11.246
246833.63,695581.13,0.04391628722245779,14.608959131240844,15.28
241901.99,706979.8,0.01964703310599706,23.91767133331299,24.397
243114.05,699807.56,0.06665549096224843,15.30498325920105,16.398
245544.47,697089.06,0.08078862711483116,17.295881192207336,18.816
247960.54,696518.11,0.13340896638193744,13.536151945114137,15.62
247960.55,697493.55,0.009967745587044231,7.635128746032715,7.712
247286.45,697023.83,0.018789984337117704,15.09642998790741,14.818
246755.78,696181.56,0.14180816954677852,15.62166588973999,18.203
244855.49,698781.07,0.0507819907294673,27.38968565750122,28.855
246095.88,696426.95,0.049217465436016974,10.623326837539672,10.125
241304.15,705828.91,0.02380284851728175,26.181710245132447,25.573
245838.93,697839.79,0.3329501743912756,6.765886381149292,10.143
248393.11,698400.85,0.029199825643817824,21.073895629882813,20.476
243658.45,702816.76,0.31964205460500056,6.77704549407959,9.961
241247.96,707210.8,0.07330732208025448,19.852537239074707,21.423
243179.68,701306.76,0.5756231963080624,8.817187406539917,5.596
244578.9,702364.41,0.008702959802191063,11.229412871360779,11.328
245798.68,695522.22,0.22664507975357978,11.93363977432251,15.431
245014.54,695439.88,0.023379023258502638,10.430279005050659,10.192
